time,frequency,confidence
6.440,391.486,0.957330
6.450,391.592,0.957193
6.460,391.523,0.956608
6.470,391.484,0.956095
6.480,391.423,0.947992
6.490,391.412,0.951449
6.500,391.352,0.941569
6.510,391.588,0.954744
6.520,391.423,0.947381
6.530,391.660,0.955021
6.540,391.565,0.954556
6.550,391.667,0.953216
6.560,391.468,0.955096
6.570,391.198,0.941597
6.580,391.228,0.948177
6.590,390.704,0.943950
6.600,391.373,0.944400
6.610,391.160,0.941834
6.620,391.767,0.953032
6.630,391.576,0.956867
6.640,391.491,0.942122
6.650,391.741,0.961518
6.660,391.304,0.946785
6.670,391.697,0.955703
6.680,391.161,0.942140
6.690,391.085,0.934940
6.700,391.115,0.937717
6.710,390.330,0.889257
6.720,391.115,0.928158
6.730,390.836,0.854940
6.740,387.995,0.484597
6.750,349.811,0.653675
6.760,349.429,0.850067
6.770,348.325,0.896847
6.780,348.238,0.925446
6.790,347.481,0.942823
6.800,347.761,0.941667
6.810,348.496,0.958541
6.820,348.341,0.960454
6.830,348.330,0.962352
6.840,348.309,0.957943
6.850,348.140,0.957345
6.860,348.551,0.968502
6.870,348.320,0.960279
6.880,348.482,0.961876
6.890,348.316,0.954708
6.900,348.643,0.967146
6.910,348.500,0.962482
6.920,348.578,0.969187
6.930,348.646,0.969447
6.940,348.528,0.968078
6.950,348.632,0.968177
6.960,348.694,0.969340
6.970,348.903,0.972860
6.980,348.763,0.968975
6.990,348.828,0.970031
7.000,348.720,0.966670
7.010,348.917,0.972453
7.020,348.720,0.967136
7.030,348.703,0.967078
7.040,348.482,0.958699
7.050,348.493,0.959628
7.060,348.549,0.961879
7.070,348.424,0.955800
7.080,348.321,0.956177
7.090,348.338,0.951761
7.100,348.253,0.954192
7.110,348.400,0.955590
7.120,348.277,0.953067
7.130,348.321,0.952104
7.140,348.342,0.950519
7.150,348.412,0.954185
7.160,348.355,0.948542
7.170,348.411,0.953847
7.180,348.332,0.946701
7.190,348.443,0.946545
7.200,348.523,0.943235
7.210,348.677,0.938410
7.220,348.663,0.931436
7.230,348.231,0.893607
7.240,346.274,0.877035
7.250,338.203,0.628618
7.260,329.605,0.817210
7.270,328.384,0.893611
7.280,328.457,0.919465
7.290,328.501,0.930213
7.300,328.725,0.942326
7.310,328.834,0.941504
7.320,328.518,0.946130
7.330,328.650,0.947309
7.340,329.062,0.965436
